,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsis,-0.0005353229,0.0002459231,0.0051074866,0.009012234,-0.0093032885,-0.007117762,0.006473429,0.008987866,-0.0050157346,-0.0037610445,0.0073756524,-0.001538683,-0.0045361957,0.00654414,-0.0048549348,-0.001821887,0.0028666644,0.0009846045,-0.008275653,-0.009455071,0.0073135705,0.0050768526,0.0067522847,0.000765412,0.006346171,-0.0034090108,-0.00094408094,0.0057623247,-0.0075180074,-0.0039442535,-0.007513848,-0.0009238036,0.009542458,-0.007308543,-0.0023295428,-0.0019306436,0.008082224,-0.005940929,4.866579e-05,-0.0047674943,-0.009608353,0.0050144563,-0.008758537,-0.0043821335,-2.6948655e-05,-0.00029843164,-0.0076615135,0.009618583,0.004980243,0.009229934,-0.008157997,0.0045026015,-0.0041311844,0.00082340586,0.008497586,-0.0044604978,0.0045212614,-0.006791992,-0.0035374956,0.009397726,-0.0015738294,0.0003280444,-0.004137624,-0.00768853,-0.0015135378,0.0024708526,-0.00090012414,0.005547864,-0.002756907,0.0022611844,0.0054510185,0.008350024,-0.0014487961,-0.0092064515,0.004373555,0.0005692732,0.0074398415,-0.0008123687,-0.002648959,-0.008755098,-0.0008500847,0.0028267298,0.005395192,0.0070552723,-0.0056999214,0.0018637088,0.006104639,-0.0047928095,-0.0030936557,0.006791078,0.0016313662,0.00018855406,0.0034636895,0.0002220723,0.009634095,0.005066851,-0.008913194,-0.007038254,0.0009080995,0.006379486
failure,-0.008622421,0.0036782885,0.0051766364,0.005760468,0.0074831187,-0.0061897105,0.0011471955,0.0060923332,-0.0028524238,-0.0061720773,-0.00041486972,-0.008380738,-0.0055753724,0.0071061747,0.0033666522,0.0072340565,0.006819156,0.0075068516,-0.0037682483,-0.00059717137,0.0023578906,-0.004510038,0.00837814,-0.009884063,0.0067659006,0.0028919482,-0.0049410467,0.004372457,-0.0017745382,0.0066999737,0.009999404,-0.00436459,-0.0005970232,-0.0057039917,0.0038515283,0.0028250318,0.006888725,0.006092251,0.009533922,0.009248731,0.007899533,-0.0069722454,-0.009148047,-0.0003344994,-0.0030833322,0.007910721,0.005936568,-0.0015667791,0.0015088664,0.0018001819,0.0078442665,-0.009522449,-0.00018903216,0.0034871164,-0.0009422474,0.008392564,0.009005635,0.006562321,-0.00071008975,0.0077031394,-0.008541324,0.0032370635,-0.0046404544,-0.0051089004,0.0035619168,0.0053986325,0.0077587403,-0.005744945,0.007402505,0.006645628,-0.0037294228,-0.00873322,0.0054783695,0.0065022823,-0.0007769282,-0.006722811,-0.007095307,-0.0024897957,0.0051438026,-0.003653263,-0.009390367,0.0038591493,0.004858631,-0.0063852323,0.0011906617,-0.0020762344,1.8916842e-05,-0.009886359,0.002711109,-0.004767742,0.0011080843,-0.0015538445,0.002169505,-0.007859934,-0.0026587523,0.002656856,0.005382842,-0.0024068828,-0.009515752,0.0044840598
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008251989,0.009307396,-0.00019789756,-0.0019598333,0.0046070106,-0.0041010585,0.0027711883,0.0069736983,0.0060430863,-0.0075132176,0.009367469,0.0046672276,0.0039520888,-0.006247276,0.0084857065,-0.0021470515,0.008821074,-0.0053814477,-0.008129895,0.006817486,0.0016573911,-0.0021665425,0.009501725,0.0095089795,-0.009780284,0.0025134815,0.0061357385,0.003859109,0.002002759,0.00045037625,0.0006945407,-0.0038319237,-0.0071286974,-0.0021142196,0.003920848,0.008873475,0.009262206,-0.00596955,-0.009425967,0.009750621,0.0034358234,0.005150041,0.0062736734,-0.0027789287,0.007350366,0.0028443285,0.0028586811,-0.0023921775,-0.0031419422,-0.0023932196,0.0042794743,6.381092e-05,-0.009586167,-0.009676565,-0.0061560087,-0.0001226469,0.0019889676,0.009450891,0.005592305,-0.0042826906,0.00027341407,0.004977979,0.0076871687,-0.001155578,0.004333715,-0.0058016498,-0.00078701734,0.00812684,-0.0023808868,-0.009656777,0.005760467,-0.003933456,-0.0012093995,0.009986778,-0.002254146,-0.004745688,-0.005360586,0.006992053,-0.005708237,0.0021160543,-0.0052622594,0.0061330297,0.004371669,0.0026223736,-0.0014961899,-0.0027328036,0.009013969,0.00522731,-0.002152887,-0.009490628,-0.007401883,-0.0010508404,-0.00082713604,-0.0025513223,0.009699494,-0.00047118132,0.005904215,-0.007468589,-0.002499784,-0.0055666273
acute,-0.0072054123,0.0012585624,-0.007220646,-0.0022349502,0.0037014643,0.0057863477,0.0012372121,0.002150915,-0.0041442337,0.0072060404,-0.0063853795,0.0045995316,-0.008229152,0.002098645,-0.004933077,-0.0042522126,-0.0031427462,0.005606077,0.0058072573,-0.004994837,0.00080822705,-0.00841059,0.0077785063,0.009244319,-0.0026945353,0.0008253654,0.00070780225,0.005420211,-0.008675315,0.0006027099,0.006969132,0.002228697,0.0011861552,-0.009345099,0.008438847,-0.006198151,-0.0029757572,0.0035128705,-0.0007866332,0.0013069467,0.0017612048,-0.0068821036,-0.009739211,0.009081879,0.0062682666,-0.0069619804,0.0033763393,0.00017908947,0.0047595515,-0.007137434,0.0040393067,0.0042988923,0.010024651,-0.004522124,-0.001406425,-0.0072891293,-0.009746289,-0.009118413,-0.0010951436,-0.0064961393,0.0049027237,-0.006098923,0.0025463502,0.000692327,-0.00339351,-0.00093160366,0.009987509,0.009223439,-0.0045190426,0.009160473,-0.005675605,0.0059609204,-0.0030869467,0.0034521616,0.0030465408,0.006957754,-0.0024278401,0.008800768,0.007578916,-0.009531889,-0.007976154,-0.007660359,0.0029046747,-0.0027527646,-0.0069324495,-0.008120639,0.008350796,0.0020245393,-0.00930212,-0.004824422,0.0032100412,-0.00464053,0.005239546,-0.0042149844,0.0026604244,-0.008030626,0.0063073165,0.0047849715,0.0008355026,0.0029608537
breath,-0.008741774,0.0021370703,-0.0008806635,-0.009330407,-0.009421762,-0.001409184,0.004464454,0.0037372361,-0.0065243365,-0.0068552354,-0.0050165835,-0.0023291463,-0.0072516017,-0.009598807,-0.002745041,-0.008398011,-0.006068138,-0.00569468,-0.0023317584,-0.0017009755,-0.008931939,-0.00070441933,0.008150492,0.0076938574,-0.007182232,-0.0036728985,0.0031243372,-0.009607704,0.0014265698,0.006510907,0.0057704453,-0.008783873,-0.004515843,-0.008173529,4.794473e-05,0.009301339,0.005996684,0.005067119,0.0050562234,-0.0032800178,0.009540087,-0.0073795174,-0.0072971294,-0.0022529764,-0.00076127803,-0.0032364628,-0.0005984361,0.0075089545,-0.00069544476,-0.0016272083,0.0027479972,-0.008391119,0.007881705,0.00852344,-0.009579321,0.0024475192,0.009899368,-0.007680519,-0.0069880164,-0.0077769984,0.008413183,-0.00065691525,0.0091723325,-0.008195109,0.003723699,0.0026514481,0.0007280057,0.0023717736,-0.00750718,-0.009359332,0.002355365,0.0061906893,0.008015273,0.0057412605,-0.0007842441,0.00832564,-0.009350886,0.0033992524,0.0002569005,0.0038677289,0.007402722,-0.0067323837,0.0055705607,-0.009521755,-0.0008145973,-0.008698516,-0.005089211,0.009301039,-0.0018451465,0.0029322426,0.009088481,0.008967247,-0.008228011,-0.0030137089,0.009924495,0.0051361425,-0.0015495467,-0.00871264,0.0029815151,-0.006749162
esophageal,0.008125377,-0.004449315,-0.0010940986,0.0010258965,-0.00018085311,0.0011408641,0.0061434624,-6.253653e-07,-0.003256229,-0.001512782,0.005883509,0.0014892955,-0.0006931534,0.009344298,-0.0048973663,-0.00084763824,0.0091823125,0.006724548,0.0015123374,-0.008907258,0.0011735123,-0.0022431891,0.009358808,0.0011992928,0.0015071316,0.002393408,-0.0018564394,-0.0050186045,0.00020437397,-0.0020090432,0.0066209766,0.008949231,-0.00065842445,0.0029686496,-0.006138495,0.0017594576,-0.006924721,-0.00869253,-0.005914426,-0.008989527,0.0072937002,-0.0057979347,0.008286547,-0.007212756,0.0034606152,0.009675782,-0.007803243,-0.009980383,-0.004326074,-0.0026849213,-0.00025478587,-0.008877666,-0.008605703,0.002779432,-0.008224175,-0.009055129,-0.0023413762,-0.008605433,-0.0070777214,-0.008398191,-0.0002859585,-0.0045255315,0.006645038,0.0014984742,-0.0033521135,0.0061242376,-0.0060292366,-0.004609599,-0.00724981,-0.004298037,-0.0018250947,0.0064717038,-0.0027610841,0.0049370816,0.00689585,-0.00747316,0.00453759,0.0061304495,-0.0029648,0.006642071,0.006116911,-0.0064323093,-0.006775822,0.0025675509,-0.0016114744,-0.0060560447,0.009526039,-0.005116448,-0.0065249377,-0.00013695682,-0.002676267,0.00046270204,-0.0035581503,-0.00041307503,-0.0006852984,0.00083028706,0.008263112,-0.0057718437,-0.0016511895,0.0055523906
artery,0.008139139,-0.00439964,0.008894104,0.008286203,-0.004401255,0.00023084773,0.0043614255,-0.0037737673,-0.0056534177,-0.0064974455,-0.0007676747,-0.00042369158,0.00449764,-0.0023882755,-7.7283155e-05,0.0024515246,0.004884213,-0.00014685601,-0.0062534213,-0.009357964,0.00011206762,0.0068156775,0.0013864733,-0.009012422,-0.007891082,0.00651584,-0.0038625596,0.006125312,-0.0068484647,0.008468273,-0.006371393,0.0032941313,-0.0010296351,-0.0068482943,-0.0033386752,-0.0009378459,-0.005448047,-0.0012321717,-0.007620293,0.0024952816,0.009063486,-0.0024542406,-0.0009981282,0.003678588,0.00885099,-0.005853263,-0.0069290195,-0.0029953185,0.009135848,0.00089546305,-0.008634984,-0.0015637774,0.009657007,-0.0076078814,-0.005390329,0.009385556,-0.0090440335,0.0039286017,0.00056433055,0.0066637266,0.008389949,-0.002711179,-0.0040346095,0.008794255,0.002111844,0.006361779,-0.009502129,0.009754227,-0.0014777217,-0.0059188264,0.0029461419,-0.0004663347,0.0047829696,-0.0022911795,-0.0041158455,0.0023267062,0.008230226,-0.0049602427,0.0027501425,-0.00795763,-0.0068576415,-0.00047268945,-0.008899622,0.0029006896,0.0015668306,-0.0022246626,0.005136869,0.009726794,0.008610633,-0.0019139604,0.002202103,-0.003946494,-0.008371187,0.0063602384,-0.0018946527,-0.00058525737,-0.0015518232,-0.0046339426,0.004064327,-0.004380203
accident,-0.009654398,0.008992706,0.0041355835,0.009287066,0.0066305455,0.0028863507,0.00998684,-0.0043409583,-0.00684583,0.0042010397,0.003650069,-0.0057351007,0.009789507,-0.003555249,0.00962688,0.000806322,-0.0063734567,-0.002041761,-0.0073929657,-0.0030384348,0.0010792465,0.009683713,0.0093676625,-0.006644134,0.0035149606,0.0023248973,-0.002544506,-0.009380282,0.00096874934,-0.008158964,0.0063548395,-0.005830028,0.005657132,0.009797291,-0.0002663913,0.0047465935,-0.0018370097,0.007337738,0.0038827902,-0.009134261,-0.0024199511,0.0036086098,-0.00010175773,-0.0011277014,-0.00094917684,-0.0017272086,0.0005435744,0.004125934,-0.004290224,-0.0039289496,1.1542187e-05,0.00017748305,-0.00015838453,-0.0048745256,0.004290288,-0.0021291086,0.0020742088,0.0006768059,0.005986438,-0.006873023,-0.006805779,-0.0044016256,0.009474206,-0.0016369026,-0.009459032,-0.0004466862,-0.0045258603,0.006124591,-0.00976956,0.0029353,-0.009363913,0.0013074549,0.006087477,0.0074027823,-0.007569226,-0.006063808,-0.006941943,-0.007899254,-0.009600013,-0.0020789045,-0.0008618653,-0.0072411294,0.0067661447,0.0011929857,0.005880654,0.0014254368,0.0008944993,-0.007404877,-0.0021409395,0.0042370707,-0.0050103823,0.0012410994,0.002864355,-0.0015310585,0.010051635,0.008381373,0.002572494,0.0070970193,0.005944203,-0.0056521907
shortness,-0.0051697902,-0.00665702,-0.0077721397,0.008324935,-0.0019656525,-0.0068711974,-0.0041449564,0.005156599,-0.0028897775,-0.0037628126,0.0016247081,-0.0027775713,-0.0015890194,0.0010829895,-0.0029681367,0.008523144,0.0038775194,-0.009975245,0.006270786,-0.006766424,0.0007862919,0.004415843,-0.005092648,-0.0021247275,0.00809966,-0.0042554354,-0.007655908,0.0092528025,-0.0021484967,-0.00473431,0.008576794,0.004302207,0.004292429,0.009286147,-0.008446504,0.0052595465,0.0020147543,0.0042049414,0.0017148794,0.0044621704,0.004501197,0.006101102,-0.0031802529,-0.0045874743,-0.0004469182,0.002504329,-0.0032970267,0.0060738972,0.004155261,0.007797051,0.002595062,0.008120787,-0.0013695599,0.008057115,0.003750155,-0.008064271,-0.0039377464,-0.0024742265,0.0048792968,-0.0009064188,-0.0028411779,0.007845436,0.009365645,-0.0016449436,-0.0051788813,-0.0047261803,-0.0048192395,-0.009582249,0.0013403996,-0.004221284,0.002543537,0.005610483,-0.0040631904,-0.009594178,0.001579103,-0.0067084627,0.002505891,-0.0037921339,0.0070652105,0.00063783163,0.0035441692,-0.0027433266,-0.001734377,0.0076761153,0.0014171851,-0.005872474,-0.007820687,0.0012290805,0.006475018,0.005547389,-0.008986114,0.008619162,0.0040645106,0.007480812,0.009770223,-0.007277978,-0.009060299,0.0058223787,0.009394831,0.003502228
