,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsis,-0.0005410731,0.00023701377,0.005112178,0.009013164,-0.009312625,-0.007126385,0.0064727217,0.0089926645,-0.005011699,-0.0037661742,0.0073724533,-0.0015452495,-0.004521333,0.006542519,-0.004857063,-0.0018272104,0.0028746824,0.0009841458,-0.008281483,-0.009457307,0.007323356,0.005092385,0.006741212,0.00077150075,0.006353457,-0.0033896333,-0.0009551862,0.0057720505,-0.007526405,-0.003927942,-0.007521389,-0.0009308682,0.009540748,-0.0073258234,-0.0023441776,-0.001924287,0.008074874,-0.00593458,4.841388e-05,-0.0047731493,-0.009621708,0.005005625,-0.008757646,-0.0043888805,-2.7556662e-05,-0.00030117232,-0.0076686954,0.009605724,0.0049764663,0.009237222,-0.008156689,0.0044796267,-0.0041446746,0.0008116837,0.0085056815,-0.0044595026,0.004516813,-0.006788764,-0.0035557377,0.009397478,-0.0015885903,0.00031800065,-0.004130731,-0.007693616,-0.0015219122,0.0024892164,-0.0008976853,0.0055470075,-0.0027716071,0.0022691938,0.0054547107,0.00835393,-0.001444322,-0.009229267,0.0043791924,0.00057424244,0.0074305166,-0.00080229057,-0.0026532267,-0.008751591,-0.00085790845,0.0028302628,0.0053837956,0.00707467,-0.005704763,0.0018664604,0.0060934005,-0.004795827,-0.0030941763,0.006786309,0.0016385525,0.00019351822,0.003474563,0.00021575986,0.009635027,0.0050497646,-0.008905517,-0.0070369244,0.0008985829,0.0063771466
failure,-0.008660723,0.0036835812,0.005150769,0.0057632416,0.0074732346,-0.006201234,0.0011620651,0.0060919235,-0.0028572292,-0.0061638537,-0.00044021773,-0.008399633,-0.005558972,0.0071074096,0.0034066017,0.007205311,0.006817857,0.007476606,-0.003804188,-0.00057976734,0.0023689296,-0.0044512483,0.0083940765,-0.009893725,0.0068028914,0.0029144196,-0.0049835052,0.0043604476,-0.0017875641,0.0066910763,0.009997067,-0.004373919,-0.00056307425,-0.0057173525,0.0038305917,0.0028817062,0.006891657,0.0061093965,0.009528095,0.009199285,0.007858416,-0.0069760405,-0.009153614,-0.00029637542,-0.0030577525,0.007908191,0.0059537515,-0.0015490091,0.0014856932,0.0017877759,0.007869508,-0.009587027,-0.00015326886,0.0033988475,-0.00093195343,0.008389754,0.009013252,0.0065391767,-0.0007539519,0.0077009816,-0.008560655,0.0032428736,-0.004635648,-0.0051263464,0.003573931,0.0054795505,0.0077377385,-0.0057056304,0.0073832003,0.0066565084,-0.0037370317,-0.00874606,0.0054925396,0.0065195686,-0.00078693556,-0.006715753,-0.0071315933,-0.0024905289,0.005151718,-0.0036716235,-0.009422096,0.0038516703,0.00485056,-0.0064166966,0.0012137757,-0.0020560496,6.357614e-05,-0.009902033,0.0027028392,-0.004746214,0.0011498578,-0.0015541557,0.0021665609,-0.007884454,-0.0026539154,0.0026866882,0.0053933,-0.0024037403,-0.009516419,0.00444563
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008239144,0.009308382,-0.0002068554,-0.0019300387,0.0045979656,-0.0041124667,0.0027625295,0.007002298,0.0060745846,-0.007538665,0.009373313,0.004656926,0.0039705858,-0.006247175,0.00847093,-0.002168529,0.008810847,-0.005392753,-0.008144488,0.006841593,0.0016722856,-0.002189594,0.009474962,0.009484936,-0.009788497,0.0025102526,0.0061649177,0.0038373591,0.002007509,0.00043980294,0.0006445857,-0.0038238447,-0.007147185,-0.0021224984,0.0038858193,0.008857661,0.009293829,-0.006016796,-0.0094448,0.009729617,0.003402925,0.005158094,0.0062748217,-0.0027955559,0.007395456,0.002834376,0.0028688854,-0.0023872207,-0.0031342548,-0.0023584627,0.004295471,3.5273235e-05,-0.009571501,-0.009711264,-0.0061817714,-0.00011031706,0.001986062,0.009430411,0.0056066783,-0.0042761234,0.00026679662,0.0049673757,0.007721279,-0.0012039803,0.0043283976,-0.0057867994,-0.00084399775,0.008151523,-0.0024235789,-0.009658348,0.005766477,-0.0039209556,-0.0012021208,0.009967116,-0.0022296715,-0.0047857673,-0.0053359848,0.00701603,-0.0057034167,0.0020886366,-0.005276639,0.006133461,0.004347827,0.0026104162,-0.0014862148,-0.002770574,0.009037728,0.005229369,-0.0021206303,-0.009482971,-0.0074412376,-0.0010478274,-0.0008131076,-0.002561267,0.009706577,-0.0004274697,0.005942521,-0.007440802,-0.0024993897,-0.0055825342
acute,-0.0071381438,0.00127453,-0.007265978,-0.0022928028,0.0037552917,0.0057987305,0.0012951453,0.0021990775,-0.004156701,0.007247255,-0.0063326363,0.004616499,-0.008195644,0.0020879274,-0.004908271,-0.004262606,-0.0031399764,0.0056478013,0.0058239945,-0.0049968543,0.00083945686,-0.008437574,0.007808934,0.009250466,-0.0027428244,0.000781923,0.0007644932,0.0054143965,-0.008657965,0.00059644127,0.006943216,0.0022046189,0.0012016657,-0.00934973,0.008464267,-0.006163612,-0.0029832819,0.0035305098,-0.00084474625,0.0013715487,0.0017391163,-0.0068509066,-0.009733794,0.0090952525,0.006247653,-0.0069154683,0.00341317,0.0002162291,0.0047593233,-0.0071474435,0.0040942654,0.004298887,0.009980545,-0.0045393324,-0.0014356242,-0.007294229,-0.009699803,-0.009043806,-0.0010518937,-0.006559084,0.0048788395,-0.006124773,0.0025263675,0.00073835714,-0.0034290114,-0.000873201,0.009981384,0.0091889035,-0.004550519,0.0091429,-0.0057031726,0.0058932435,-0.0030791466,0.0034382378,0.0030321383,0.006907807,-0.0023826696,0.008834813,0.007558246,-0.009505568,-0.008058754,-0.0076031364,0.0028607629,-0.0028036183,-0.006943785,-0.008135265,0.008374699,0.0019867644,-0.009290983,-0.004836416,0.0031933736,-0.0046723615,0.005265977,-0.004245995,0.002721347,-0.008009732,0.0063482947,0.0047225896,0.00079061236,0.0029495503
breath,-0.008722927,0.002188878,-0.0009238675,-0.009316239,-0.009468515,-0.0014153493,0.0045050555,0.003765994,-0.0065129464,-0.006877928,-0.005006376,-0.002275297,-0.0072178044,-0.009626541,-0.0027262054,-0.008367525,-0.0060355756,-0.0057331566,-0.002366658,-0.0017353685,-0.008955469,-0.0006555984,0.008161395,0.007707263,-0.0072123366,-0.0037141445,0.0031157783,-0.009615423,0.0014285921,0.0065425946,0.005793293,-0.008809509,-0.004475298,-0.008196146,5.1842203e-06,0.009332399,0.005990656,0.005069078,0.0050355834,-0.0032637469,0.009528475,-0.0073499577,-0.007280825,-0.0022325544,-0.0007198453,-0.00321874,-0.00060696417,0.0075208344,-0.0006917779,-0.0016102016,0.002739643,-0.008401261,0.007851061,0.008498019,-0.009618699,0.0024763527,0.009883232,-0.0076397867,-0.0070044557,-0.0077459877,0.008446332,-0.00063664676,0.009210369,-0.008164374,0.003705139,0.002714134,0.0007141631,0.0023672346,-0.007531994,-0.009385325,0.002344123,0.006205932,0.008034488,0.0057201427,-0.00077042886,0.008307887,-0.009379612,0.0033991178,0.00026687278,0.003859493,0.007357294,-0.006716432,0.0055394745,-0.009509876,-0.00080242817,-0.008726474,-0.0050751613,0.009305473,-0.001846198,0.0028636858,0.009101529,0.008976694,-0.008253472,-0.0030242444,0.009937912,0.0051634647,-0.0014908657,-0.008742743,0.0029436215,-0.006710941
esophageal,0.008111436,-0.0044471724,-0.001112717,0.0010169757,-0.00018325991,0.0010887112,0.006147649,5.7914094e-05,-0.0032564579,-0.0015156096,0.0058915885,0.0015025098,-0.00070575933,0.009385553,-0.0048892577,-0.0008334971,0.009163922,0.0067213937,0.001502652,-0.008910835,0.0011896397,-0.0022271993,0.009361088,0.0011873641,0.0015106684,0.0023767184,-0.0018612415,-0.0050374595,0.00016764773,-0.0020264543,0.006647589,0.008929317,-0.0006627808,0.0029514998,-0.006146426,0.0017428251,-0.006967283,-0.008696426,-0.00590912,-0.008980979,0.007261471,-0.0057797832,0.008302501,-0.007209419,0.0034595768,0.009711275,-0.007800134,-0.009967015,-0.0043391115,-0.0026539676,-0.00023007205,-0.008865948,-0.008583351,0.0027730041,-0.008247077,-0.009080299,-0.0023375354,-0.008598097,-0.0070687113,-0.008418993,-0.00028557598,-0.004549759,0.0066170357,0.0014844023,-0.0033408063,0.006172291,-0.0060102693,-0.004606217,-0.0072533926,-0.004299595,-0.0018408578,0.0064601456,-0.0027508214,0.0049188673,0.00690562,-0.0074562533,0.004536197,0.0061263526,-0.0029513307,0.006620665,0.006066978,-0.006422392,-0.0068033324,0.0025783975,-0.0016108621,-0.006039774,0.009536299,-0.0051545734,-0.006542518,-0.00012293445,-0.0026602738,0.0004628327,-0.003573779,-0.00039101284,-0.0006810143,0.00086488994,0.008261741,-0.0057977713,-0.0016525494,0.0055360924
artery,0.0081578,-0.0043823444,0.00882948,0.008213766,-0.0043315985,0.00020433292,0.0043956125,-0.00370578,-0.005665678,-0.0064726966,-0.00072400563,-0.00031038842,0.0046201455,-0.0023929635,-9.301471e-06,0.0024192503,0.0049313838,-0.00018036125,-0.006310762,-0.009274884,0.00010720617,0.0069243656,0.0013892705,-0.00899975,-0.007876767,0.00645606,-0.003933309,0.0061559277,-0.0068932055,0.008550112,-0.0064735617,0.0032580413,-0.0010624519,-0.006981681,-0.0033203517,-0.0008749774,-0.005583302,-0.0013455013,-0.0076488517,0.0024752212,0.008941597,-0.0024160703,-0.0009609188,0.0037481475,0.008849491,-0.005804674,-0.0069383085,-0.0029303343,0.009168466,0.00083132583,-0.008512369,-0.0016186875,0.009571855,-0.0077042608,-0.0054338705,0.009373333,-0.009022632,0.0039793947,0.0005761669,0.0066107926,0.008391406,-0.0027905905,-0.0039982856,0.008872188,0.0020829546,0.0064974786,-0.009528299,0.009755391,-0.0015138933,-0.0059569203,0.002928111,-0.00047794927,0.004797491,-0.0023239455,-0.0040686894,0.0022739233,0.008340059,-0.004955537,0.0026552295,-0.00800362,-0.006951053,-0.00038440624,-0.008974533,0.002880244,0.0016211922,-0.0023445056,0.0052086017,0.009802166,0.008636301,-0.0018376084,0.0022828279,-0.003945757,-0.008417274,0.006368075,-0.0018524559,-0.0005928993,-0.0014981203,-0.0046614013,0.004051798,-0.004497388
accident,-0.009585328,0.009013435,0.0040338463,0.009207189,0.0066287452,0.0028889452,0.009960899,-0.0042064856,-0.0068894103,0.004240475,0.0036910665,-0.005694648,0.009806986,-0.003545163,0.0096009355,0.00079502416,-0.006309985,-0.002037563,-0.007347501,-0.003025319,0.0010730634,0.00961794,0.009320717,-0.0065822527,0.0034877744,0.0022580598,-0.0025184937,-0.009338573,0.000913852,-0.008193587,0.006379622,-0.005827893,0.0056159045,0.0097211115,-0.00024335519,0.0047358004,-0.0018429757,0.0073164394,0.0038564482,-0.009133832,-0.0025173365,0.0036405136,-7.173496e-05,-0.0011027926,-0.0008992081,-0.0016737663,0.00057783717,0.00415183,-0.004302806,-0.0038105478,6.73939e-05,0.00016412222,-0.00017091706,-0.0048809242,0.004283163,-0.002155486,0.0020757974,0.0007434474,0.005964447,-0.0069406815,-0.0067803785,-0.004464911,0.009466155,-0.0016795796,-0.00948287,-0.00028948457,-0.004591008,0.0060948925,-0.0097942,0.0028842257,-0.00930004,0.001305369,0.0061191292,0.0073450976,-0.0075399107,-0.0060483944,-0.0069240076,-0.007845231,-0.009589927,-0.002049926,-0.0009369331,-0.007208003,0.006677948,0.0011082388,0.005877602,0.0014892502,0.0008828405,-0.007393197,-0.002082845,0.004283282,-0.0049961926,0.0011716608,0.0028053764,-0.001531733,0.010108513,0.0083848545,0.0026484171,0.007073049,0.005860142,-0.005739267
shortness,-0.005187615,-0.006643773,-0.007785027,0.008302473,-0.0019674767,-0.006885689,-0.0041511203,0.0052040503,-0.0028741108,-0.0037613476,0.0015997972,-0.0028469572,-0.0015873566,0.0011029582,-0.0029629082,0.008527094,0.003926941,-0.009993136,0.006246826,-0.0067942184,0.0007927225,0.0044578873,-0.0050747995,-0.002126101,0.008088914,-0.0042051827,-0.0076768743,0.009272823,-0.0021906884,-0.0047518117,0.0086232405,0.0042816033,0.0043102754,0.009284635,-0.008481931,0.005260483,0.0020572362,0.0042352783,0.0017150561,0.004439958,0.0044785636,0.0061152265,-0.003217108,-0.0045533455,-0.00038390368,0.0025538236,-0.0032604341,0.0060302075,0.004164544,0.007778904,0.0025605455,0.008094629,-0.0013575541,0.00807722,0.0037213608,-0.008060049,-0.003942225,-0.0024993708,0.0048858677,-0.0008820577,-0.0028155872,0.007845796,0.009309761,-0.0016325423,-0.0051553124,-0.004694964,-0.004852578,-0.009584105,0.0013624965,-0.004214451,0.0025012293,0.0055979495,-0.004059981,-0.00960232,0.001532026,-0.006643308,0.0024755346,-0.003776928,0.007069525,0.00065495085,0.0035697033,-0.002721407,-0.0017035168,0.0076968083,0.0014466421,-0.0058233524,-0.0077961064,0.0012278394,0.006427246,0.0055441326,-0.008956892,0.008599868,0.0040782136,0.0074976557,0.009789264,-0.007277675,-0.009043026,0.0058223326,0.009366106,0.0035214252
