,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsi,-0.00053138565,0.00023749805,0.0050991583,0.00900162,-0.009303633,-0.0071414956,0.0064621484,0.008984895,-0.0050208117,-0.0037794895,0.0073755486,-0.0015392245,-0.004533689,0.0065607745,-0.004858403,-0.0018202979,0.0028716319,0.00097588624,-0.008287981,-0.009460873,0.0073219603,0.0050689504,0.006759626,0.00076727604,0.006347772,-0.0034006473,-0.00094805524,0.0057648686,-0.007529009,-0.0039369063,-0.007510539,-0.00093098864,0.009534369,-0.0073258732,-0.002329389,-0.0019277597,0.008081853,-0.0059298333,3.6027963e-05,-0.0047649383,-0.009613187,0.0050187125,-0.0087571805,-0.004388697,-2.5985519e-05,-0.00029524,-0.007674826,0.009613387,0.004983274,0.009241591,-0.008160186,0.0044876738,-0.004136872,0.0008297433,0.00850188,-0.0044680787,0.0045216344,-0.006786343,-0.0035588106,0.009398879,-0.0015778492,0.00033191286,-0.0041325176,-0.0076872665,-0.0015169504,0.0024752612,-0.00089162204,0.0055416785,-0.0027467741,0.0022653278,0.0054563805,0.0083515635,-0.0014486351,-0.009205313,0.004370601,0.00057313155,0.0074373074,-0.0008130717,-0.0026492798,-0.008755985,-0.00085361366,0.0028396612,0.005393607,0.007055068,-0.005704279,0.0018668352,0.006099053,-0.0047735795,-0.0031094195,0.0067990697,0.0016508405,0.00019469837,0.0034673596,0.00023211804,0.009623148,0.0050647813,-0.008902763,-0.007058169,0.0009003576,0.006383943
failur,-0.00862767,0.0036845747,0.005185345,0.0057349857,0.007476374,-0.006211102,0.0011415718,0.0060672364,-0.00284372,-0.0061912253,-0.00042867518,-0.008402962,-0.0055998266,0.007101489,0.0033598517,0.0072391904,0.0068203816,0.007524378,-0.0037839862,-0.0005779547,0.0023549004,-0.0045127296,0.008378844,-0.009864778,0.006755029,0.0029156888,-0.00493341,0.0043679466,-0.0017434016,0.0066843135,0.009982064,-0.0043658544,-0.0006062592,-0.005722146,0.0038598464,0.0028029364,0.006921978,0.0061117946,0.009535135,0.009294881,0.007907024,-0.0070032533,-0.009159705,-0.0003548396,-0.0030572063,0.007926889,0.0059517315,-0.0015687555,0.001516729,0.001792269,0.007833991,-0.009502676,-0.00019194363,0.0034860785,-0.00093821855,0.008395896,0.009028539,0.0065246085,-0.00071629655,0.007728363,-0.008541789,0.00321522,-0.004634301,-0.005085315,0.003595725,0.0053886008,0.007745384,-0.0057859356,0.0074414173,0.006633416,-0.0037137256,-0.008758009,0.005459798,0.0065147895,-0.00078794465,-0.0067144935,-0.0070945546,-0.0024856792,0.005149764,-0.0036514394,-0.009398645,0.0038506668,0.0048882845,-0.006431876,0.0012179764,-0.0020607577,4.551148e-05,-0.009852332,0.0027037356,-0.004752951,0.0010987503,-0.0015773607,0.0021938693,-0.00786198,-0.0026791473,0.0026673586,0.005360668,-0.0024067862,-0.0095343925,0.004504175
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008252303,0.009338002,-0.00020747518,-0.0019904615,0.0046338453,-0.004205797,0.0028317736,0.007064938,0.005997952,-0.007542269,0.009341301,0.0046594944,0.003990072,-0.0062113577,0.008550475,-0.0021405905,0.008791809,-0.005407472,-0.008135442,0.006756872,0.00167287,-0.0021859445,0.009435973,0.009494857,-0.009815232,0.0024897843,0.006171191,0.0038555446,0.0019769447,0.0003935563,0.0007301673,-0.003823756,-0.007183414,-0.0021231016,0.0039672973,0.008933916,0.009317843,-0.005986572,-0.009422565,0.009737992,0.0034588925,0.0051277094,0.0062428867,-0.002759277,0.0074052517,0.0028634046,0.0028523435,-0.0024047247,-0.0031228522,-0.002397562,0.0043202695,5.72628e-05,-0.0095871175,-0.009605581,-0.006158952,-0.00011851152,0.0020025184,0.009425785,0.005530368,-0.004255079,0.00029626803,0.00500623,0.0077402066,-0.0011957393,0.0043161465,-0.0057794317,-0.0008190753,0.008109454,-0.0024110284,-0.009649287,0.0057722293,-0.0038961736,-0.0011952334,0.009997762,-0.0021890115,-0.0047356044,-0.0053564245,0.0070147524,-0.0057303943,0.002140579,-0.005268082,0.0062392433,0.0043469085,0.0026463177,-0.001495335,-0.0027011319,0.009034754,0.005325577,-0.0020873828,-0.009480774,-0.0073404266,-0.0009963878,-0.0008401192,-0.0024992698,0.0097921,-0.00047508065,0.005942588,-0.007535279,-0.0025002852,-0.0055880514
acut,-0.007115181,0.0012699309,-0.0071635116,-0.0022509214,0.0037335835,0.005750306,0.0012385586,0.002160336,-0.0041443077,0.0072052996,-0.0063262,0.0046376493,-0.008194509,0.0020494193,-0.004958356,-0.0042590233,-0.0031172524,0.005654546,0.005816238,-0.005017076,0.00078320986,-0.008498763,0.0077562947,0.0092529515,-0.0027925698,0.00079617515,0.00074183295,0.005454378,-0.008631957,0.0005570465,0.0068849768,0.0022393027,0.0011156586,-0.009324113,0.008509114,-0.0062172445,-0.0030035165,0.0034709754,-0.00078834855,0.0013764711,0.0017736425,-0.006840344,-0.009740708,0.009072442,0.006214039,-0.0069348235,0.0034009302,0.00017462719,0.004768696,-0.007119022,0.0040496415,0.0043495484,0.009951217,-0.004465479,-0.0013640613,-0.007314812,-0.009712158,-0.009084343,-0.0010243882,-0.006492738,0.0048542772,-0.0061712787,0.0025313124,0.0007146117,-0.003401265,-0.0009373394,0.0099835405,0.009145024,-0.004483457,0.009093718,-0.0056583434,0.005942218,-0.0030856973,0.0034323023,0.0030520028,0.006939865,-0.0023794095,0.008792638,0.0075689633,-0.009518345,-0.008034621,-0.0075780335,0.0029017143,-0.0027494011,-0.0069235316,-0.008109993,0.00835488,0.0020348784,-0.009260569,-0.0047999127,0.0031784656,-0.0046879454,0.005264567,-0.0042027496,0.0026935488,-0.0080683455,0.0062454487,0.0048000636,0.0008004939,0.002995097
breath,-0.008746801,0.0021565373,-0.00087850034,-0.009353217,-0.009437033,-0.001453258,0.0044739298,0.0037458057,-0.0065230248,-0.0068923812,-0.00500293,-0.0023044795,-0.007236399,-0.009617868,-0.0027190282,-0.008366328,-0.006053172,-0.0057079303,-0.0023386888,-0.0017374841,-0.008979304,-0.0007248117,0.008126914,0.007704742,-0.007236829,-0.0036854432,0.0031329505,-0.009605983,0.0014741219,0.006479724,0.005746679,-0.008747672,-0.0045426977,-0.008142814,7.393039e-05,0.00929672,0.0060081743,0.0050648213,0.0050772713,-0.0032708647,0.009565379,-0.0073879063,-0.0073028994,-0.0022338724,-0.0007500995,-0.00320547,-0.0005904216,0.007471866,-0.00069733255,-0.0016255053,0.0027488277,-0.008340651,0.007851974,0.008572844,-0.009601528,0.002441119,0.0099270595,-0.007685448,-0.006995766,-0.007712387,0.008421132,-0.0006594068,0.009161436,-0.008180597,0.0037403759,0.002623403,0.00071614375,0.0023475112,-0.0074895476,-0.009361483,0.0023616462,0.006179734,0.008010371,0.0057709203,-0.0007479927,0.008339276,-0.009337477,0.003420973,0.00026358032,0.0038653458,0.007399065,-0.006676161,0.005587625,-0.009496763,-0.0008102087,-0.008679758,-0.0050879796,0.00935704,-0.0018211675,0.002907282,0.009087384,0.008969341,-0.008231613,-0.0029623387,0.00993119,0.0051060896,-0.0015571958,-0.008731739,0.002986374,-0.0067184526
arteri,0.008201272,-0.004356698,-0.0011111923,0.00095181254,-0.000108867935,0.00092383835,0.006263852,0.00016070523,-0.0034084197,-0.0015763282,0.005898699,0.0014404177,-0.00065590686,0.009426981,-0.0048365737,-0.00079243805,0.009186661,0.006626135,0.0015548047,-0.009065907,0.0011493781,-0.0021439681,0.0092098685,0.0012252006,0.0014139548,0.002371495,-0.001838706,-0.005095411,0.00015277338,-0.002128179,0.006660128,0.008950038,-0.00075028307,0.0029027215,-0.0060331803,0.0018439771,-0.006883561,-0.008756774,-0.0059300708,-0.009153115,0.0073366165,-0.005859536,0.008233883,-0.0071403403,0.0035436393,0.009764626,-0.0077988077,-0.0099802585,-0.004319506,-0.0026744986,-0.00027177125,-0.008818007,-0.008658535,0.0028374007,-0.008187087,-0.009103713,-0.0023726113,-0.008652951,-0.007096905,-0.008318584,-0.0002690783,-0.0045317253,0.006707661,0.0015090988,-0.0033686727,0.0061318693,-0.0060755084,-0.004646481,-0.007351684,-0.004156995,-0.0018024022,0.0064765415,-0.002654284,0.004987938,0.007033687,-0.0074167256,0.004479194,0.006191135,-0.0030313279,0.0066348086,0.0061480026,-0.006231631,-0.0068381424,0.002623863,-0.0016381743,-0.00604768,0.009631687,-0.0048866444,-0.006425188,-0.00012588566,-0.0025312612,0.0005262389,-0.0036217999,-0.00021129698,-0.00059595355,0.0007603364,0.008327886,-0.0059069223,-0.001644296,0.0054624695
short,0.008167397,-0.004439927,0.008976053,0.008255401,-0.0044424464,0.00028410135,0.0042868415,-0.0039161067,-0.005579416,-0.0065309745,-0.00066810125,-0.00031028216,0.004465309,-0.0024687892,-0.00017446304,0.0024629075,0.004862998,-3.771075e-05,-0.006335571,-0.009285873,1.0267267e-05,0.0066756434,0.0014633458,-0.008953217,-0.007936034,0.0065449704,-0.0037913625,0.00623332,-0.006690028,0.008469278,-0.0065208967,0.0032818408,-0.0010648363,-0.0067854915,-0.0032862516,-0.0011578922,-0.0054697795,-0.0012115693,-0.0075524813,0.0026202872,0.009076712,-0.0023991107,-0.0010027207,0.0035345624,0.0086601125,-0.005926357,-0.0068849637,-0.0029335355,0.009162953,0.0008752308,-0.008687013,-0.0014530454,0.009493542,-0.007552623,-0.0053534317,0.00932175,-0.008971715,0.0038111585,0.00065930607,0.006664189,0.008316288,-0.0028512124,-0.003993667,0.008895935,0.0020917272,0.006253476,-0.00945728,0.009597758,-0.0013648486,-0.0060526878,0.0030049365,-0.0004478371,0.004723545,-0.0022749102,-0.0041399538,0.0023104036,0.00834614,-0.0049871337,0.0026780763,-0.008000591,-0.0067668697,-0.0004651868,-0.008752867,0.0027921393,0.0015889767,-0.0023153368,0.005001833,0.00977062,0.008467888,-0.0018750842,0.0020778335,-0.003999486,-0.008239234,0.0063093863,-0.0019489464,-0.00066065544,-0.0017555052,-0.0045504346,0.0040765186,-0.0042910594
liver,-0.0095858555,0.008952961,0.0041657616,0.009215246,0.0066692107,0.002910774,0.0098401075,-0.004414497,-0.0068294927,0.004213409,0.0037307225,-0.005682668,0.009725665,-0.0035543705,0.009557948,0.0008146586,-0.00632957,-0.0019828458,-0.007381805,-0.0030054175,0.001030164,0.009491942,0.009353896,-0.0065999986,0.0034650245,0.0022837464,-0.0024838191,-0.009250904,0.0010088256,-0.008173717,0.006314016,-0.005786987,0.005514377,0.00980644,-0.00016018057,0.0045601134,-0.0018252119,0.0073615857,0.0039367564,-0.009034314,-0.0023948075,0.003625643,-0.00012757869,-0.0011866898,-0.0010517178,-0.0016648005,0.0006092829,0.0041520707,-0.0042394856,-0.003847528,-4.6868492e-05,0.0002653597,-0.00017338016,-0.004777975,0.004307312,-0.002184309,0.0021057117,0.0006773168,0.005973872,-0.006811029,-0.0068035014,-0.004481621,0.009434775,-0.001569651,-0.009444702,-0.00051988877,-0.0044609527,0.005988067,-0.009572786,0.0028698114,-0.009260627,0.0012775889,0.006017222,0.0073929313,-0.0075904033,-0.006050347,-0.0068449834,-0.007920451,-0.009502668,-0.002131304,-0.0008431526,-0.0072432947,0.006786341,0.0011143571,0.0058087516,0.0014671107,0.0008201201,-0.0073404666,-0.0021591748,0.004319564,-0.005050999,0.0011527527,0.0028962353,-0.0015183544,0.009961372,0.008350217,0.0024463413,0.007101127,0.005881726,-0.005587911
fever,-0.0051562428,-0.0066683376,-0.007776835,0.008310728,-0.001982342,-0.0068549635,-0.004154389,0.0051441262,-0.0028691364,-0.0037496602,0.0016214252,-0.0027762938,-0.0015843606,0.0010744918,-0.0029779447,0.008519283,0.003910935,-0.009958863,0.0062595997,-0.006754254,0.0007694328,0.0044042347,-0.005103375,-0.0021106696,0.008095479,-0.0042437925,-0.007636261,0.009257913,-0.002155497,-0.0047194324,0.0085708,0.004283339,0.0043248367,0.009284513,-0.00845308,0.00525532,0.0020393515,0.00418828,0.0016979002,0.004464134,0.0044862903,0.006104522,-0.0032020975,-0.004575728,-0.00042651652,0.0025337338,-0.003263167,0.006057718,0.0041541304,0.0077645923,0.0025692724,0.008116683,-0.0013872099,0.008077928,0.003717016,-0.008047325,-0.0039336146,-0.0024718784,0.004893044,-0.000872159,-0.0028309084,0.007833707,0.0093229,-0.0016149282,-0.0051592495,-0.0047017587,-0.004846051,-0.009602826,0.0013720202,-0.0042249155,0.0025267089,0.0056144833,-0.0040659057,-0.009596582,0.0015466976,-0.0067001223,0.0024951743,-0.003780632,0.0070784213,0.00064022065,0.0035609389,-0.0027391338,-0.0017105473,0.007652793,0.0014076781,-0.0058504487,-0.007834497,0.0012326873,0.006454631,0.0055563496,-0.00897705,0.008592164,0.004046978,0.007469605,0.0097463345,-0.00728958,-0.009039963,0.0058360007,0.009391213,0.0035069252
