,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsi,-0.00052113045,0.00023551642,0.0050948323,0.008987494,-0.009297095,-0.007137406,0.006473451,0.008986292,-0.0050303233,-0.0037707572,0.0073857075,-0.0015333977,-0.0045350944,0.0065698326,-0.004847339,-0.001809153,0.0028856432,0.000993521,-0.008300304,-0.009469546,0.0073033106,0.005073313,0.0067446916,0.000765407,0.0063356906,-0.0034080588,-0.00094233296,0.005751857,-0.007523942,-0.003943529,-0.007502732,-0.000915534,0.009547675,-0.007335692,-0.0023266282,-0.0019293329,0.008086166,-0.005948414,3.5192686e-05,-0.004760941,-0.009600802,0.0049910266,-0.008767075,-0.004381003,-2.3326653e-05,-0.00027588257,-0.0076604695,0.009611542,0.004972087,0.009224636,-0.00814895,0.0044944324,-0.004134906,0.0008324526,0.008500772,-0.004464257,0.004516533,-0.006777591,-0.0035481674,0.009411415,-0.0015557291,0.0003062398,-0.0041365293,-0.0076735257,-0.001508226,0.002467781,-0.000902026,0.005516604,-0.0027680455,0.0022728923,0.0054578446,0.008343993,-0.0014464033,-0.009207256,0.004389675,0.00057202764,0.0074422616,-0.0008005158,-0.0026413149,-0.008750078,-0.00084599294,0.002856855,0.005386691,0.0070483126,-0.005709723,0.0018625592,0.0061013703,-0.004776619,-0.00309152,0.0067971633,0.0016548444,0.00019808266,0.003467273,0.00023190063,0.009624417,0.0050509693,-0.008903397,-0.0070636948,0.0009099044,0.0063859937
failur,-0.008608927,0.0036865342,0.0051726033,0.005727802,0.0075060646,-0.0061948723,0.0011287805,0.006062584,-0.0028423746,-0.0061719893,-0.00040840972,-0.0083994325,-0.005575854,0.0070936177,0.0033775677,0.007240206,0.0068195867,0.0074731186,-0.0037955125,-0.00058510544,0.0023547274,-0.004505526,0.00841636,-0.009894704,0.006742797,0.0029008393,-0.0049247523,0.004396797,-0.001743798,0.0067033893,0.010001227,-0.0043911994,-0.0005845,-0.005715503,0.0038640117,0.0028223407,0.0068926592,0.006100903,0.009535124,0.009254604,0.007887778,-0.006991494,-0.0091866385,-0.00035427895,-0.003093238,0.007904901,0.0059416187,-0.0015482438,0.0015057771,0.0017795293,0.007826255,-0.009517521,-0.00019445062,0.0034857756,-0.0009351265,0.008373917,0.009013575,0.0065590492,-0.0007337704,0.0077514956,-0.008546012,0.0031868243,-0.0046443488,-0.0050754626,0.0035970318,0.0053675394,0.0077534295,-0.0057763928,0.0074128215,0.0066347984,-0.0037228847,-0.008749245,0.0054632905,0.006510385,-0.00078587665,-0.006729813,-0.0070906715,-0.0025186292,0.0051442957,-0.0036588665,-0.00938536,0.00385782,0.00488839,-0.0064151385,0.001207166,-0.00207524,3.6110243e-05,-0.009865998,0.0027100127,-0.004766307,0.0011136824,-0.0015671311,0.0022065882,-0.007895324,-0.0027045931,0.0026613418,0.005366106,-0.002427943,-0.009492314,0.004482231
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008202309,0.009337142,-0.0002112529,-0.0020427848,0.004625822,-0.004188326,0.0028119828,0.007083079,0.006030324,-0.0075161573,0.00938288,0.0046630227,0.003966422,-0.006230743,0.008513311,-0.0021115483,0.008826584,-0.0054496457,-0.008089361,0.0067373165,0.0016774454,-0.0021141001,0.009494268,0.0095344195,-0.009842017,0.002484671,0.0061923466,0.0038422472,0.0019541318,0.000415346,0.0007327714,-0.0038384446,-0.007147986,-0.0020863733,0.0039552283,0.008865316,0.009298049,-0.006010586,-0.009432221,0.009690565,0.0034127175,0.005177088,0.0062717767,-0.0027284003,0.007385669,0.002890975,0.0028289433,-0.0023589276,-0.0031436388,-0.0023723873,0.0043120813,0.0001329115,-0.00960556,-0.009708325,-0.006111935,-0.00016353272,0.0020254184,0.009510163,0.005613414,-0.0042703147,0.00029383737,0.005010499,0.0076792752,-0.0011653072,0.004289508,-0.0058012325,-0.00082800176,0.008105775,-0.0024097355,-0.009657298,0.0058012735,-0.0039303,-0.0012471904,0.010023169,-0.0022139335,-0.004724593,-0.0053431373,0.007024603,-0.0057715806,0.0021127965,-0.005283648,0.006276958,0.0043280283,0.0027137538,-0.0015510937,-0.0026769256,0.009036314,0.005325544,-0.0021193775,-0.009500093,-0.0072958022,-0.0010601823,-0.00085565506,-0.0024622455,0.009744722,-0.0005094155,0.0059529953,-0.0075458605,-0.0024794543,-0.005626532
acut,-0.0071103647,0.0012630009,-0.0071952147,-0.002280932,0.0037770907,0.0057550427,0.0012739901,0.0022240505,-0.004171651,0.007187442,-0.0063075298,0.004597829,-0.008177779,0.0020941487,-0.004964887,-0.0042138034,-0.0031300564,0.005639761,0.0058380007,-0.0050564203,0.00078884006,-0.008446717,0.0077199875,0.009246699,-0.0027578464,0.0008002091,0.0007703744,0.0054824897,-0.008647815,0.0005542665,0.0068888566,0.002246828,0.001086133,-0.0093586445,0.008499162,-0.006201087,-0.0030303753,0.0034721845,-0.0007891736,0.0013205509,0.0017854058,-0.0068699005,-0.009763336,0.009071304,0.0062333075,-0.0069086617,0.0033878686,0.00017435124,0.00476804,-0.007119184,0.004057384,0.004341661,0.009959454,-0.004439028,-0.0014005944,-0.0073422743,-0.009723637,-0.0090767285,-0.0010155418,-0.0064425715,0.0048572775,-0.006175577,0.0025156438,0.0007344991,-0.0034372192,-0.0009525265,0.009958865,0.009183479,-0.004501719,0.00913475,-0.0056099445,0.0059471563,-0.0030742302,0.0034436213,0.0031030818,0.0069208723,-0.0023945991,0.008786943,0.007560237,-0.009563919,-0.008034643,-0.0075329365,0.002892284,-0.0027576957,-0.006941736,-0.008102631,0.008369049,0.0020729888,-0.009266286,-0.004838222,0.0032426422,-0.0046781977,0.005273819,-0.004153283,0.0026958021,-0.008060707,0.006296629,0.004732805,0.00084451755,0.0029738531
breath,-0.008727278,0.0021439455,-0.0008779,-0.009348973,-0.00941819,-0.0014467292,0.0044514867,0.0036943203,-0.006524509,-0.0068675764,-0.005025768,-0.0022823275,-0.0072408128,-0.00961473,-0.0027500489,-0.008384048,-0.0060143,-0.0056600785,-0.0023274142,-0.0017434093,-0.008968892,-0.00067369966,0.008142281,0.007699295,-0.007216548,-0.0036693788,0.0030950701,-0.009601165,0.0014654268,0.0065099993,0.005772815,-0.008770122,-0.0045124292,-0.008158328,3.7797352e-05,0.009295021,0.0059666024,0.005068286,0.0050779353,-0.0032825025,0.0095772855,-0.0073656654,-0.007296795,-0.0022823126,-0.0007772391,-0.0031798924,-0.0005723049,0.007484624,-0.00069151504,-0.0016371201,0.0027256035,-0.008353344,0.007868691,0.008520798,-0.00959567,0.0024493393,0.009895771,-0.007689099,-0.006986408,-0.007737727,0.0084154485,-0.0006745492,0.009142368,-0.0081592,0.003747515,0.002667077,0.00071344845,0.0022988345,-0.007513525,-0.009348232,0.0023615444,0.0061863433,0.008024252,0.0057386365,-0.0007483498,0.008312363,-0.009371822,0.0034213208,0.00022553379,0.0038471415,0.007363586,-0.006723436,0.005540579,-0.009498429,-0.00081749336,-0.00870877,-0.0050803768,0.009307989,-0.001826246,0.0029280724,0.009098042,0.008946097,-0.008229923,-0.0030211245,0.009911177,0.005095412,-0.0015765567,-0.008720903,0.0029489354,-0.0066905892
arteri,0.008239468,-0.0043126787,-0.001259021,0.00078247883,0.00011070988,0.0008416699,0.0062703104,0.0002908028,-0.0034256347,-0.0014185776,0.0059408993,0.0015197385,-0.0008074372,0.009505819,-0.004704736,-0.00082730973,0.009319651,0.006576594,0.001644506,-0.00908202,0.0010400652,-0.001958963,0.009234597,0.0011481505,0.0014489642,0.0022827724,-0.0018053879,-0.0051879464,9.71086e-05,-0.002063736,0.0068007046,0.008919729,-0.00068384997,0.0028554483,-0.006036712,0.0019770658,-0.006991242,-0.008741097,-0.005789409,-0.009468574,0.007309941,-0.0058760066,0.008305976,-0.0071016275,0.003469967,0.009966597,-0.007859305,-0.009953748,-0.004434097,-0.0027239767,-0.00024124267,-0.00868952,-0.008657048,0.0029949658,-0.008199865,-0.009205355,-0.002221427,-0.00862798,-0.0070934757,-0.008335505,-0.00015363054,-0.0045170197,0.0066382955,0.0015360262,-0.0034431508,0.0061489,-0.006135689,-0.0046262136,-0.007508069,-0.0042031854,-0.0015732048,0.0065752473,-0.0026114362,0.0051394976,0.0072522988,-0.007533618,0.0044660782,0.0062527065,-0.0032631794,0.0064828945,0.006116228,-0.00602661,-0.0068960893,0.0026632792,-0.001663026,-0.0059619164,0.009650375,-0.004723343,-0.0064064357,-0.00016137963,-0.0022772814,0.0005247424,-0.003697118,-0.00023633578,-0.0004857342,0.0008100951,0.008348448,-0.0060621565,-0.0015728992,0.0053329184
short,0.008171195,-0.004421048,0.008999343,0.0082404455,-0.004418257,0.00029570615,0.004269656,-0.0039342036,-0.0055658277,-0.006523237,-0.0006708204,-0.00029657455,0.0044727265,-0.0024858,-0.000171149,0.002469707,0.0048562684,-2.765424e-05,-0.0063557113,-0.009288893,2.7581613e-05,0.0066911574,0.0014672689,-0.008958962,-0.007949369,0.006553047,-0.0037953642,0.006247154,-0.006668727,0.008473027,-0.006510415,0.0032836366,-0.0010735554,-0.006782204,-0.003290132,-0.0011503617,-0.005473043,-0.0012142289,-0.007574645,0.0026487608,0.009082945,-0.0023889546,-0.0009735011,0.003513276,0.008661754,-0.005930715,-0.0068874885,-0.0029457787,0.0091435835,0.00088824163,-0.008673112,-0.0014591838,0.009485022,-0.007561273,-0.0053655226,0.00931571,-0.008976849,0.0038363135,0.00063576346,0.0066461666,0.008310243,-0.0028537312,-0.00398906,0.008881217,0.0021189046,0.0062562507,-0.009416365,0.009577844,-0.0013522865,-0.0060523925,0.0030045894,-0.00045736082,0.004708514,-0.0022782963,-0.004151495,0.002292452,0.008351196,-0.0049829665,0.0026665512,-0.0079980865,-0.006786015,-0.0004796265,-0.008786449,0.002775439,0.0015967623,-0.0023157117,0.0050085527,0.009744037,0.008468875,-0.0018688684,0.0020471464,-0.003990721,-0.008247906,0.0062634395,-0.0019541057,-0.0006700068,-0.00175841,-0.0045434246,0.004076233,-0.0042746784
liver,-0.009581268,0.008983787,0.004168482,0.009218781,0.0066650487,0.0028793549,0.00981573,-0.004382508,-0.006813344,0.004238519,0.0037352652,-0.00565674,0.00970149,-0.0035416582,0.0095861,0.0008608755,-0.006338438,-0.0019877513,-0.007367494,-0.0030260738,0.0010173293,0.009542067,0.009322344,-0.006579148,0.0034476984,0.002289648,-0.002478562,-0.009246854,0.0010047635,-0.008151686,0.0063517396,-0.005809095,0.0055227755,0.009830094,-0.00014704445,0.0045616105,-0.0017870163,0.0073523354,0.00396286,-0.009051023,-0.002419324,0.0036204096,-0.0001093466,-0.0011849271,-0.0010531972,-0.0016376321,0.00060111855,0.0041798386,-0.004271217,-0.003841375,-4.0143866e-05,0.00029101406,-0.0001761642,-0.004780383,0.0043205502,-0.0021774026,0.002137102,0.0006819507,0.0059690685,-0.0068363007,-0.006803441,-0.004478692,0.009418966,-0.0016070515,-0.009441557,-0.00052716944,-0.004452174,0.0059919883,-0.009595221,0.0028645536,-0.009223903,0.0012531102,0.006011346,0.0074081053,-0.0075967032,-0.0060312115,-0.0068640807,-0.00790889,-0.009527611,-0.002134738,-0.00083354325,-0.007209324,0.0067876065,0.0011279576,0.0058250767,0.0015064885,0.0008016908,-0.007311365,-0.002139306,0.004329732,-0.005047362,0.001142635,0.0028456985,-0.0015250903,0.009955838,0.008351034,0.0024628562,0.00709021,0.0058964603,-0.0056187664
fever,-0.0051562428,-0.0066683376,-0.007776835,0.008310728,-0.001982342,-0.0068549635,-0.004154389,0.0051441262,-0.0028691364,-0.0037496602,0.0016214252,-0.0027762938,-0.0015843606,0.0010744918,-0.0029779447,0.008519283,0.003910935,-0.009958863,0.0062595997,-0.006754254,0.0007694328,0.0044042347,-0.005103375,-0.0021106696,0.008095479,-0.0042437925,-0.007636261,0.009257913,-0.002155497,-0.0047194324,0.0085708,0.004283339,0.0043248367,0.009284513,-0.00845308,0.00525532,0.0020393515,0.00418828,0.0016979002,0.004464134,0.0044862903,0.006104522,-0.0032020975,-0.004575728,-0.00042651652,0.0025337338,-0.003263167,0.006057718,0.0041541304,0.0077645923,0.0025692724,0.008116683,-0.0013872099,0.008077928,0.003717016,-0.008047325,-0.0039336146,-0.0024718784,0.004893044,-0.000872159,-0.0028309084,0.007833707,0.0093229,-0.0016149282,-0.0051592495,-0.0047017587,-0.004846051,-0.009602826,0.0013720202,-0.0042249155,0.0025267089,0.0056144833,-0.0040659057,-0.009596582,0.0015466976,-0.0067001223,0.0024951743,-0.003780632,0.0070784213,0.00064022065,0.0035609389,-0.0027391338,-0.0017105473,0.007652793,0.0014076781,-0.0058504487,-0.007834497,0.0012326873,0.006454631,0.0055563496,-0.00897705,0.008592164,0.004046978,0.007469605,0.0097463345,-0.00728958,-0.009039963,0.0058360007,0.009391213,0.0035069252
